start	end	duration	path	overlap_list
1448032274.94	1448032546.68	271.739742	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-16-11-14_0.bag	[]
1448033666.41	1448035083.55	1417.140138	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-16-34-26_0.bag	[]
1448035110.57	1448038710.56	3599.994368	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-16-58-30_0.bag	[]
1448038710.57	1448042310.56	3599.993608	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-17-58-30_1.bag	[]
1448042310.57	1448045910.56	3599.993424	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-18-58-30_2.bag	[]
1448045910.57	1448048906.15	2995.58029	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-19-58-30_3.bag	[]
1448048910.82	1448049057.07	146.259925	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-20-48-30_0.bag	[]
1448049060.74	1448050607.61	1546.865482	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-20-51-00_0.bag	[]
1448050611.37	1448051022.91	411.541754	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-21-16-51_0.bag	[]
1448051026.82	1448052565.61	1538.792797	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-21-23-46_0.bag	[]
1448052620.87	1448052675.16	54.288535	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-21-50-20_0.bag	[]
1448052680.18	1448052703.01	22.827191	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-21-51-20_0.bag	[]
1448052899.08	1448053210.93	311.850578	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-21-54-59_0.bag	[]
1448053215.27	1448053303.37	88.098327	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-22-00-15_0.bag	[]
1448053341.68	1448053513.68	171.993156	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-22-02-21_0.bag	[]
1448053590.89	1448053804.78	213.89691	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-22-06-30_0.bag	[]
1448053833.81	1448054802.77	968.965268	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-22-10-33_0.bag	[]
1448054814.6	1448054828.32	13.719838	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-22-26-54_0.bag	[]
1448054836.56	1448054974.03	137.470434	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-22-27-16_0.bag	[]
